ID,Dog,Runs,Wins,Strike Rate,Longest Winning Sequence,Longest Losing Sequence,Current Losing Sequence,Last Run
479,Antonella,9,6,66.66,3,2,0,15/05/2021
480,Anvic Lively,18,4,22.22,2,9,9,29/12/2021
481,Any Answer,1,0,0,0,1,1,08/02/2021
482,Any Hint,26,5,19.23,2,8,8,01/07/2021
483,Any Moment Now,1,0,0,0,1,1,04/12/2021
484,Anynamewilldo,7,2,28.57,2,4,1,21/12/2021
485,Anynewswithyou,4,0,0,0,4,4,27/01/2021
486,Anyone Upstairs,11,0,0,0,11,11,21/12/2021
487,Aodhans Champ,28,4,14.28,1,9,2,29/12/2021
488,Aoifes Mixture,4,0,0,0,4,4,25/05/2021
489,Aoifes Romeo,50,11,22,2,7,6,31/12/2021
490,Apache Girl,19,2,10.52,2,13,4,28/10/2021
491,Apostle,13,1,7.69,1,6,6,21/12/2021
492,Apparently,21,2,9.52,1,10,10,03/06/2021
493,Apple Pie,2,0,0,0,2,2,25/11/2021
494,Appleby Queen,26,3,11.53,2,12,8,30/12/2021
495,Appleby Rosie,2,0,0,0,2,2,01/02/2021
496,Aquaman,18,4,22.22,1,7,2,28/12/2021
497,Arcadian,23,5,21.73,2,6,3,04/11/2021
498,Archgrove Emily,2,0,0,0,2,2,23/04/2021
499,Archgrove Eve,16,3,18.75,1,8,2,15/11/2021
500,Archgrove Joey,27,4,14.81,2,11,2,01/09/2021
501,Archgrove Kate,7,1,14.28,1,5,5,09/08/2021
502,Archgrove Polly,37,5,13.51,1,11,11,26/07/2021
503,Archgrove Tiger,43,6,13.95,2,15,15,27/12/2021
504,Archie Boy,10,0,0,0,10,10,03/05/2021
505,Archies Girl,22,4,18.18,3,13,2,31/12/2021
506,Archonei,1,0,0,0,1,1,12/05/2021
507,Arctic Assassin,11,1,9.09,1,9,9,13/05/2021
508,Arcturis Thunder,1,0,0,0,1,1,28/07/2021
509,Ardagh Cadain,2,0,0,0,2,2,13/01/2021
510,Ardera Aster,11,2,18.18,2,6,6,26/05/2021
511,Ardera Blake,30,6,20,3,13,4,30/12/2021
512,Ardera Charm,7,1,14.28,1,5,1,14/11/2021
513,Ardera Crystal,25,8,32,2,6,6,13/12/2021
514,Ardera Dottie,1,0,0,0,1,1,14/01/2021
515,Ardera Dutch,13,5,38.46,2,4,2,19/12/2021
516,Ardera Echo,12,2,16.66,1,6,6,29/12/2021
517,Ardera Faye,7,0,0,0,7,7,08/11/2021
518,Ardera Hector,28,4,14.28,1,14,4,30/12/2021
519,Ardera Jade,37,7,18.91,2,6,4,17/12/2021
520,Ardera Karen,9,3,33.33,3,5,1,21/10/2021
521,Ardera Lady,18,3,16.66,1,6,6,29/12/2021
522,Ardera Madison,1,0,0,0,1,1,20/11/2021
523,Ardera Mel,15,2,13.33,1,7,7,07/06/2021
524,Ardera Niamh,50,8,16,1,9,6,28/12/2021
525,Ardera Nidge,9,1,11.11,1,8,8,27/11/2021
526,Ardera Paul,9,1,11.11,1,7,7,09/10/2021
527,Ardera Salah,2,0,0,0,2,2,11/01/2021
528,Ardera Shrek,42,4,9.52,2,24,24,23/09/2021
529,Ardera Stella,5,2,40,1,1,1,24/09/2021
530,Ardera Tank,15,3,20,2,5,5,27/12/2021
531,Ardera Tess,16,2,12.5,1,9,0,29/12/2021
532,Ardera Velvet,5,1,20,1,3,3,30/12/2021
533,Ardera Violet,20,4,20,1,7,6,31/12/2021
534,Arderin Shadow,15,2,13.33,1,6,4,27/12/2021
535,Ardfert Jody,29,4,13.79,1,8,8,13/09/2021
536,Ardfert Marvel,10,4,40,2,5,0,17/12/2021
537,Ardfield Ace,18,3,16.66,2,10,4,28/09/2021
538,Ardmore Jet,32,3,9.38,1,10,9,23/11/2021
539,Ardmore Jet,32,3,9.38,1,10,9,23/11/2021
540,Ardnasool Flash,27,5,18.51,2,8,8,16/12/2021
541,Ardnasool Sky,32,7,21.87,2,6,1,30/12/2021
542,Ardrahan Arya,12,2,16.66,1,4,4,26/03/2021
543,Ardrahan Bell,19,1,5.26,1,13,5,07/07/2021
544,Ardrahan Maybe,11,2,18.18,2,6,3,09/07/2021
545,Ardrahan Trade,10,0,0,0,10,10,28/05/2021
546,Ardralla Gary,4,0,0,0,4,4,03/02/2021
547,Ardralla Simon,7,0,0,0,7,7,23/12/2021
548,Ardralla Sophie,27,6,22.22,1,7,0,23/08/2021
549,Ardrath Albert,5,1,20,1,3,1,15/04/2021
550,Ardscull Daisy,4,1,25,1,2,2,27/12/2021
551,Ardscull Prince,16,2,12.5,1,6,2,24/11/2021
552,Ardscull Tango,3,0,0,0,3,3,29/12/2021
553,Are You Busy,6,1,16.66,1,3,2,24/03/2021
554,Are You Married,7,0,0,0,7,7,25/05/2021
555,Areyawithma,17,4,23.52,1,5,0,24/12/2021
556,Argenziano,3,0,0,0,3,3,26/12/2021
557,Arizona Blue,24,3,12.5,1,11,6,05/08/2021
558,Arizona Dove,6,0,0,0,6,6,10/03/2021
559,Ark Angel,4,1,25,1,2,2,10/04/2021
560,Arlos Sweep,4,1,25,1,2,1,19/12/2021
561,Armando,12,1,8.33,1,7,4,22/04/2021
562,Armani Baby,33,4,12.12,1,13,7,22/12/2021
563,Armani Diamond,6,0,0,0,6,6,24/09/2021
564,Arrigle Black,13,4,30.76,2,6,1,18/12/2021
565,Art Of Speed,6,2,33.33,2,3,1,11/04/2021
566,Arterbury,23,4,17.39,1,12,3,13/09/2021
567,Arterbury Anna,38,9,23.68,2,11,0,27/12/2021
568,Arterbury Blue,53,8,15.09,2,24,24,30/12/2021
569,Arterbury Mandy,15,1,6.67,1,11,3,01/06/2021
570,Arterbury Sam,17,2,11.76,1,7,2,26/06/2021
571,Arthur Banana,11,0,0,0,11,11,03/05/2021
572,Arthur Banana,11,0,0,0,11,11,03/05/2021
573,Arthur Bean,25,2,8,1,16,16,24/09/2021
574,Arthur Biscuit,45,10,22.22,1,7,4,08/12/2021
575,Arthur Mushroom,13,2,15.38,1,7,1,26/05/2021
576,Arthur Parsnip,36,6,16.66,2,10,7,24/09/2021
577,Arthur Peanut,33,8,24.24,2,14,14,23/08/2021
